Bandit,Reward,Algorithm
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
0,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
1,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
1,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
0,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
1,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
1,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
0,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
1,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
2,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
2,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
0,False,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
3,False,ThompsonSampling
3,True,ThompsonSampling
3,True,ThompsonSampling
3,False,ThompsonSampling
